Lambda,Intensity
504.1799,0.0
504.552804636568,0.0
504.925663386272,0.0
505.29847624911196,0.0
505.67124322508795,0.0
506.04396431419997,0.0
506.41663951644796,0.0
506.789268831832,0.0
507.161852260352,0.0
507.5343898020079,0.0
507.90688145679997,0.0
508.279327224728,0.0
508.65172710579196,0.0
509.024081099992,0.0
509.396389207328,0.0
509.76865142779997,0.0
510.14086776140795,991.1603793103448
510.51303820815195,1001.1036206896554
510.885162768032,988.9005517241379
511.257241441048,1025.961724137931
511.62927422719997,1013.080706896552
512.001261126488,1028.6735172413796
512.373202138912,1034.5490689655173
512.745097264472,1042.684448275862
513.1169465031679,1040.8765862068967
513.488749855,1046.978120689655
513.860507319968,1052.6276896551722
514.232218898072,1051.0458103448277
514.603884589312,1082.005448275862
514.975504393688,1064.1528103448277
515.3470783111999,1070.4803275862068
515.7186063418479,1077.2598103448277
516.0900884856319,1087.2030517241378
516.461524742552,1078.8416896551726
516.8329151126079,1078.1637413793103
517.2042595958,1089.2368965517242
517.575558192128,1097.8242413793103
517.946810901592,1084.7172413793103
518.318017724192,1104.829706896552
518.689178659928,1103.247827586207
519.0602937088,1106.863551724138
519.431362870808,1113.1910689655172
519.8023861459519,1121.1004655172412
520.173363534232,1097.5982586206896
520.5442950356479,1087.8809999999999
520.9151806502,1071.6102413793105
521.286020377888,1113.1910689655174
521.6568142187119,1102.343896551724
522.027562172672,1100.7620172413795
522.398264239768,1092.852620689655
522.76892042,1094.4345
523.139530713368,1110.9312413793104
523.5100951198721,1118.1626896551725
523.880613639512,1082.4574137931033
524.2510862722879,1098.7281724137931
524.6215130182,1092.6266379310346
524.9918938772479,1091.0447586206897
525.362228849432,1101.6659482758619
525.732517934752,1074.774
526.102761133208,1107.9934655172415
526.4729584447999,1078.3897241379311
526.843109869528,1096.2423620689656
527.213215407392,1085.1692068965517
527.583275058392,1091.27074137931
527.9532888225281,1096.0163793103447
528.3232566997999,1095.1124482758619
528.6931786902079,1084.4912586206897
529.0630547937519,1093.9825344827586
529.432885010432,1097.5982586206896
529.8026693402479,1093.9825344827586
530.1724077832,1085.6211724137931
530.542100339288,1088.784931034483
530.911747008512,1086.0731379310344
531.281347790872,1067.542551724138
531.650902686368,1089.4628793103448
532.020411695,1089.236896551724
532.389874816768,1085.3951896551723
532.759292051672,1089.9148448275862
533.128663399712,1098.050224137931
533.497988860888,1105.7336379310343
533.8672684351999,1077.4857931034483
534.236502122648,1085.1692068965517
534.6056899232319,1104.3777413793105
534.9748318369519,1081.7794655172413
535.343927863808,1084.4912586206897
535.7129780038,1093.5305689655172
536.081982256928,1077.2598103448277
536.450940623192,1091.2707413793105
536.819853102592,1094.8864655172413
537.1887196951279,1100.5360344827586
537.5575404007999,1089.9148448275862
537.9263152196079,1091.2707413793103
538.2950441515519,1076.129896551724
538.663727196632,1077.9377586206897
539.0323643548479,1077.033827586207
539.4009556262,1094.4344999999998
539.769501010688,1092.6266379310343
540.138000508312,1101.213982758621
540.506454119072,1080.1975862068966
540.874861842968,1093.7565517241378
541.24322368,1088.3329655172415
541.611539630168,1102.1179137931035
541.9798096934719,1097.3722758620693
542.3480338699119,1086.5251034482758
542.7162121594879,1092.6266379310343
543.0843445621999,1101.891931034483
543.452431078048,1092.852620689655
543.820471707032,1093.5305689655172
544.188466449152,1094.2085172413795
544.556415304408,1091.496724137931
544.9243182728,1101.2139827586207
545.292175354328,1108.6714137931035
545.659986548992,1082.4574137931033
546.027751856792,1100.7620172413795
546.3954712777279,1093.3045862068964
546.7631448118,1085.8471551724137
547.130772459008,1096.9203103448276
547.498354219352,1091.7227068965517
547.8658900928319,1090.3668103448276
548.233380079448,1089.4628793103448
548.6008241792,1081.3274999999999
548.968222392088,1081.1015172413793
549.335574718112,1094.4344999999998
549.702881157272,1091.7227068965517
550.0701417095679,1116.1288448275861
550.4373563749999,1091.9486896551723
550.804525153568,1091.7227068965517
551.1716480452719,1089.6888620689656
551.5387250501119,1103.4738103448276
551.9057561680879,1091.2707413793103
552.2727413992,1098.5021896551725
552.639680743448,1089.236896551724
553.006574200832,1094.6604827586207
553.373421771352,1105.2816724137933
553.740223455008,1111.6091896551723
554.1069792518,1089.9148448275862
554.473689161728,1102.3438965517241
554.840353184792,1108.8973965517241
555.2069713209919,1083.8133103448276
555.573543570328,1088.784931034483
555.9400699327999,1086.5251034482758
556.3065504084079,1097.5982586206896
556.672984997152,1105.0556896551723
557.039373699032,1086.2991206896554
557.405716514048,1106.8635517241378
557.7720134422,1090.140827586207
558.138264483488,1088.3329655172413
558.504469637912,1081.7794655172415
558.8706289054719,1079.2936551724138
559.2367422861679,1098.5021896551723
559.6028097799999,1098.5021896551723
559.968831386968,1112.5131206896551
560.3348071070719,1077.9377586206897
560.7007369403119,1087.4290344827587
561.0666208866879,1105.281672413793
561.4324589462,1098.0502241379313
561.798251118848,1092.6266379310346
562.163997404632,1096.468344827586
562.529697803552,1088.1069827586207
562.895352315608,1087.4290344827587
563.2609609408,1113.6430344827586
563.6265236791279,1096.9203103448276
563.9920405305919,1112.5131206896554
564.3575114951919,1096.6943275862068
564.722936572928,1098.2762068965517
565.0883157638,1094.660482758621
565.453649067808,1079.5196379310346
565.818936484952,1100.5360344827586
566.184178015232,1106.4115862068966
566.549373658648,1098.5021896551725
566.9145234152,1099.1801379310343
567.2796272848881,1086.0731379310346
567.6446852677119,1098.276206896552
568.0096973636719,1092.852620689655
568.374663572768,1081.7794655172415
568.7395838949999,1090.818775862069
569.104458330368,1112.2871379310347
569.4692868788719,1106.1856034482757
569.834069540512,1115.6768793103447
570.198806315288,1090.8187758620693
570.5634972032,1108.2194482758619
570.928142204248,1102.343896551724
571.292741318432,1111.6091896551725
571.6572945457519,1080.4235689655172
572.021801886208,1084.7172413793103
572.3862633397999,1076.5818620689654
572.7506789065279,1107.0895344827586
573.1150485863919,1093.9825344827589
573.479372379392,1090.5927931034482
573.8436502855279,1082.0054482758621
574.2078823048,1079.2936551724138
574.572068437208,1108.8973965517241
574.936208682752,1110.0273103448276
575.300303041432,1104.1517586206896
575.664351513248,1110.0273103448276
576.0283540982,1103.4738103448276
576.3923107962879,1091.0447586206897
576.756221607512,1097.8242413793103
577.120086531872,1094.6604827586207
577.483905569368,1095.790396551724
577.84767872,1090.8187758620688
578.2114059837679,1096.468344827586
578.575087360672,1100.7620172413795
578.938722850712,1084.943224137931
579.302312453888,1098.9541551724137
579.6658561702,1091.2707413793105
580.029353999648,1091.7227068965517
580.3928059422319,1111.3832068965517
580.7562119979519,1096.9203103448276
581.119572166808,1098.050224137931
581.4828864488,1097.3722758620688
581.8461548439279,1083.5873275862068
582.209377352192,1086.2991206896554
582.572553973592,1089.9148448275862
582.935684708128,1092.4006551724137
583.2987695557999,1096.2423620689656
583.661808516608,1084.0392931034482
584.024801590552,1092.8526206896552
584.387748777632,1077.7117758620689
584.750650077848,1089.236896551724
585.1135054911999,1107.5415
585.476315017688,1100.0840689655172
585.8390786573119,1093.9825344827586
586.201796410072,1092.6266379310346
586.564468275968,1095.112448275862
586.9270942549999,1107.9934655172415
587.289674347168,1089.6888620689656
587.652208552472,1096.016379310345
588.014696870912,1090.5927931034482
588.377139302488,1084.7172413793103
588.7395358472,1094.4345
589.1018865050479,1087.4290344827587
589.4641912760319,1089.6888620689656
589.8264501601519,1083.361344827586
590.188663157408,1099.1801379310346
590.5508302677999,1107.9934655172412
590.9129514913279,1089.2368965517242
591.275026827992,1077.2598103448277
591.637056277792,1107.9934655172412
591.999039840728,1100.0840689655172
592.3609775168,1092.1746724137931
592.722869306008,1095.5644137931035
593.0847152083519,1091.0447586206897
593.4465152238321,1083.5873275862068
593.808269352448,1093.5305689655172
594.1699775942,1086.2991206896552
594.5316399490879,1099.1801379310346
594.893256417112,1076.5818620689654
595.2548269982719,1100.0840689655174
595.616351692568,1101.4399655172413
595.9778305,1106.6375689655174
596.339263420568,1101.6659482758619
596.700650454272,1101.4399655172415
597.061991601112,1101.213982758621
597.4232868610881,1105.2816724137933
597.7845362341999,1105.0556896551725
598.145739720448,1097.372275862069
598.506897319832,1095.112448275862
598.8680090323519,1089.0109137931036
599.229074858008,1090.818775862069
599.5900947967999,1093.3045862068966
599.951068848728,1083.361344827586
600.3119970137919,1101.2139827586207
600.672879291992,1085.8471551724137
601.033715683328,1095.3384310344827
601.3945061878001,1096.2423620689656
601.7552508054079,1084.265275862069
602.115949536152,1074.3220344827582
602.476602380032,1093.9825344827586
602.837209337048,1076.5818620689656
603.1977704072,1091.4967241379313
603.5582855904879,1107.7674827586209
603.918754886912,1109.3493620689655
604.279178296472,1109.575344827586
604.639555819168,1082.683396551724
604.999887455,1094.4345
605.360173203968,1112.2871379310345
605.7204130660721,1093.0786034482758
606.0806070413121,1091.2707413793105
606.4407551296879,1102.3438965517241
606.8008573312,1096.016379310345
607.1609136458479,1106.8635517241378
607.5209240736319,1114.3209827586209
607.880888614552,1099.1801379310343
608.240807268608,1093.0786034482758
608.6006800358,1076.8078448275862
608.960506916128,1107.7674827586209
609.320287909592,1096.4683448275862
609.680023016192,1087.6550172413795
610.039712235928,1117.2587586206896
610.3993555687999,1102.7958620689656
610.758953014808,1093.7565517241378
611.1185045739519,1090.818775862069
611.478010246232,1094.660482758621
611.837470031648,1090.1408275862068
612.1968839302,1106.863551724138
612.5562519418879,1090.3668103448276
612.915574066712,1111.3832068965517
613.274850304672,1092.8526206896554
613.634080655768,1076.129896551724
613.99326512,1088.3329655172413
614.352403697368,1104.829706896552
614.711496387872,1103.247827586207
615.0705431915119,1109.3493620689655
615.4295441082879,1116.5808103448276
615.7884991382,1107.7674827586206
616.147408281248,1105.7336379310345
616.506271537432,1102.569879310345
616.865088906752,1089.914844827586
617.223860389208,1096.4683448275862
617.5825859848,1107.9934655172412
617.941265693528,1088.5589482758623
618.299899515392,1101.8919310344827
618.658487450392,1083.8133103448276
619.0170294985279,1081.7794655172415
619.3755256597999,1101.665948275862
619.7339759342079,1107.5415
620.092380321752,1089.4628793103448
620.450738822432,1103.925775862069
