Lambda,Intensity
504.1799,0.0
504.552804636568,0.0
504.925663386272,0.0
505.29847624911196,0.0
505.67124322508795,0.0
506.04396431419997,0.0
506.41663951644796,0.0
506.789268831832,0.0
507.161852260352,0.0
507.5343898020079,0.0
507.90688145679997,0.0
508.279327224728,0.0
508.65172710579196,0.0
509.024081099992,0.0
509.396389207328,0.0
509.76865142779997,0.0
510.14086776140795,658.287775862069
510.51303820815195,663.0334137931034
510.885162768032,667.1011034482759
511.257241441048,693.5410862068966
511.62927422719997,675.0105
512.001261126488,686.0836551724138
512.373202138912,670.4908448275862
512.745097264472,684.5017758620689
513.1169465031679,707.3260344827587
513.488749855,712.5236379310345
513.860507319968,723.822775862069
514.232218898072,710.2638103448274
514.603884589312,740.9974655172414
514.975504393688,740.9974655172414
515.3470783111999,751.3926724137931
515.7186063418479,736.7037931034483
516.0900884856319,757.7201896551724
516.461524742552,759.0760862068967
516.8329151126079,746.1950689655173
517.2042595958,745.0651551724138
517.575558192128,760.4319827586208
517.946810901592,748.6808793103448
518.318017724192,759.5280517241379
518.689178659928,761.5618965517242
519.0602937088,784.8381206896552
519.431362870808,795.0073448275863
519.8023861459519,765.8555689655174
520.173363534232,778.0586379310346
520.5442950356479,748.9068620689657
520.9151806502,760.883948275862
521.286020377888,771.0531724137932
521.6568142187119,770.6012068965517
522.027562172672,773.3130000000001
522.398264239768,758.1721551724138
522.76892042,778.2846206896552
523.139530713368,759.7540344827587
523.5100951198721,766.5335172413794
523.880613639512,750.714724137931
524.2510862722879,779.188551724138
524.6215130182,763.5957413793103
524.9918938772479,765.1776206896551
525.362228849432,751.6186551724138
525.732517934752,766.7594999999999
526.102761133208,748.4548965517241
526.4729584447999,761.5618965517241
526.843109869528,753.6525
527.213215407392,736.9297758620689
527.583275058392,751.8446379310344
527.9532888225281,756.1383103448276
528.3232566997999,764.9516379310345
528.6931786902079,780.3184655172413
529.0630547937519,767.8894137931035
529.432885010432,774.2169310344827
529.8026693402479,747.3249827586206
530.1724077832,754.7824137931034
530.542100339288,759.7540344827587
530.911747008512,752.7485689655172
531.281347790872,764.0477068965517
531.650902686368,763.3697586206897
532.020411695,740.7714827586208
532.389874816768,764.0477068965517
532.759292051672,738.963620689655
533.128663399712,775.5728275862069
533.497988860888,772.8610344827588
533.8672684351999,769.9232586206897
534.236502122648,752.9745517241379
534.6056899232319,749.8107931034481
534.9748318369519,757.0422413793102
535.343927863808,761.1099310344828
535.7129780038,769.4712931034483
536.081982256928,769.2453103448277
536.450940623192,748.6808793103448
536.819853102592,768.1153965517242
537.1887196951279,750.2627586206897
537.5575404007999,774.6688965517242
537.9263152196079,775.1208620689656
538.2950441515519,766.0815517241379
538.663727196632,778.9625689655173
539.0323643548479,752.9745517241379
539.4009556262,751.8446379310346
539.769501010688,764.9516379310345
540.138000508312,756.8162586206897
540.506454119072,767.4374482758619
540.874861842968,773.0870172413793
541.24322368,773.9909482758621
541.611539630168,770.8271896551722
541.9798096934719,786.4200000000001
542.3480338699119,755.6863448275863
542.7162121594879,784.6121379310343
543.0843445621999,774.6688965517241
543.452431078048,757.2682241379309
543.820471707032,753.6525
544.188466449152,764.7256551724138
544.556415304408,793.6514482758621
544.9243182728,772.4090689655172
545.292175354328,780.0924827586207
545.659986548992,772.1830862068966
546.027751856792,777.3806896551724
546.3954712777279,774.6688965517241
546.7631448118,767.2114655172414
547.130772459008,753.6525
547.498354219352,773.9909482758621
547.8658900928319,762.465827586207
548.233380079448,746.1950689655173
548.6008241792,779.4145344827587
548.968222392088,759.0760862068965
549.335574718112,779.4145344827587
549.702881157272,770.1492413793103
550.0701417095679,770.1492413793103
550.4373563749999,757.9461724137931
550.804525153568,760.4319827586207
551.1716480452719,761.5618965517242
551.5387250501119,771.053172413793
551.9057561680879,764.7256551724138
552.2727413992,780.9964137931034
552.639680743448,746.6470344827587
553.006574200832,769.0193275862068
553.373421771352,771.731120689655
553.740223455008,796.8152068965517
554.1069792518,770.6012068965517
554.473689161728,783.9341896551724
554.840353184792,776.928724137931
555.2069713209919,770.8271896551726
555.573543570328,778.0586379310345
555.9400699327999,778.0586379310346
556.3065504084079,787.3239310344827
556.672984997152,770.8271896551724
557.039373699032,763.8217241379311
557.405716514048,788.2278620689656
557.7720134422,737.607724137931
558.138264483488,760.4319827586207
558.504469637912,773.313
558.8706289054719,759.0760862068964
559.2367422861679,763.5957413793104
559.6028097799999,766.7595000000001
559.968831386968,749.1328448275863
560.3348071070719,762.9177931034483
560.7007369403119,770.1492413793103
561.0666208866879,770.3752241379311
561.4324589462,767.6634310344828
561.798251118848,748.454896551724
562.163997404632,777.606672413793
562.529697803552,767.4374482758622
562.895352315608,772.635051724138
563.2609609408,766.9854827586207
563.6265236791279,758.3981379310345
563.9920405305919,764.4996724137932
564.3575114951919,759.0760862068967
564.722936572928,742.1273793103448
565.0883157638,749.8107931034482
565.453649067808,747.5509655172414
565.818936484952,776.2507758620688
566.184178015232,756.3642931034483
566.549373658648,785.7420517241378
566.9145234152,777.606672413793
567.2796272848881,753.8784827586207
567.6446852677119,755.6863448275863
568.0096973636719,769.0193275862068
568.374663572768,762.2398448275862
568.7395838949999,778.0586379310346
569.104458330368,755.4603620689655
569.4692868788719,772.8610344827587
569.834069540512,780.0924827586207
570.198806315288,774.4429137931036
570.5634972032,768.3413793103448
570.928142204248,766.7594999999999
571.292741318432,766.7595
571.6572945457519,780.5444482758621
572.021801886208,774.2169310344827
572.3862633397999,762.4658275862068
572.7506789065279,773.5389827586207
573.1150485863919,758.3981379310345
573.479372379392,771.0531724137932
573.8436502855279,755.9123275862069
574.2078823048,775.7988103448276
574.572068437208,784.6121379310345
574.936208682752,757.268224137931
575.300303041432,778.7365862068966
575.664351513248,746.1950689655172
576.0283540982,762.4658275862068
576.3923107962879,767.2114655172414
576.756221607512,761.3359137931034
577.120086531872,769.6972758620689
577.483905569368,770.8271896551724
577.84767872,754.5564310344828
578.2114059837679,754.5564310344828
578.575087360672,763.3697586206897
578.938722850712,769.4712931034481
579.302312453888,782.1263275862069
579.6658561702,773.3129999999999
580.029353999648,782.8042758620688
580.3928059422319,759.3020689655172
580.7562119979519,773.7649655172414
581.119572166808,764.2736896551725
581.4828864488,757.9461724137931
581.8461548439279,753.6525
582.209377352192,765.4036034482758
582.572553973592,772.6350517241378
582.935684708128,767.4374482758622
583.2987695557999,758.1721551724138
583.661808516608,779.1885517241379
584.024801590552,767.2114655172414
584.387748777632,776.4767586206897
584.750650077848,784.8381206896553
585.1135054911999,781.4483793103449
585.476315017688,777.1547068965517
585.8390786573119,779.6405172413794
586.201796410072,764.4996724137932
586.564468275968,771.0531724137932
586.9270942549999,772.1830862068965
587.289674347168,778.9625689655172
587.652208552472,762.465827586207
588.014696870912,766.7595
588.377139302488,786.1940172413794
588.7395358472,776.250775862069
589.1018865050479,783.0302586206897
589.4641912760319,767.2114655172413
589.8264501601519,772.4090689655171
590.188663157408,769.2453103448277
590.5508302677999,776.0247931034481
590.9129514913279,766.9854827586207
591.275026827992,760.4319827586207
591.637056277792,769.4712931034483
591.999039840728,762.2398448275861
592.3609775168,772.4090689655172
592.722869306008,771.053172413793
593.0847152083519,756.8162586206897
593.4465152238321,764.2736896551726
593.808269352448,757.4942068965518
594.1699775942,766.7595
594.5316399490879,757.4942068965518
594.893256417112,771.9571034482758
595.2548269982719,762.2398448275862
595.616351692568,747.5509655172415
595.9778305,758.6241206896552
596.339263420568,761.3359137931034
596.700650454272,761.7878793103448
597.061991601112,770.8271896551723
597.4232868610881,762.0138620689655
597.7845362341999,779.4145344827585
598.145739720448,763.143775862069
598.506897319832,775.5728275862069
598.8680090323519,777.6066724137931
599.229074858008,763.5957413793104
599.5900947967999,776.250775862069
599.951068848728,772.1830862068966
600.3119970137919,759.0760862068967
600.672879291992,766.5335172413793
601.033715683328,746.8730172413793
601.3945061878001,757.0422413793102
601.7552508054079,765.8555689655171
602.115949536152,774.8948793103448
602.476602380032,774.8948793103449
602.837209337048,782.3523103448275
603.1977704072,789.8097413793104
603.5582855904879,776.4767586206897
603.918754886912,763.5957413793103
604.279178296472,779.4145344827587
604.639555819168,758.1721551724138
604.999887455,750.7147241379311
605.360173203968,765.6295862068965
605.7204130660721,751.8446379310346
606.0806070413121,772.6350517241378
606.4407551296879,766.9854827586207
606.8008573312,765.8555689655174
607.1609136458479,768.5673620689655
607.5209240736319,762.9177931034483
607.880888614552,766.7595
608.240807268608,763.821724137931
608.6006800358,762.4658275862068
608.960506916128,785.5160689655173
609.320287909592,774.8948793103449
609.680023016192,779.4145344827587
610.039712235928,771.2791551724138
610.3993555687999,769.0193275862068
610.758953014808,776.4767586206897
611.1185045739519,770.1492413793104
611.478010246232,776.0247931034481
611.837470031648,780.0924827586207
612.1968839302,780.7704310344828
612.5562519418879,771.5051379310344
612.915574066712,774.2169310344827
613.274850304672,772.4090689655172
613.634080655768,775.7988103448276
613.99326512,781.4483793103448
614.352403697368,775.7988103448275
614.711496387872,764.7256551724138
615.0705431915119,765.4036034482758
615.4295441082879,756.3642931034483
615.7884991382,777.3806896551724
616.147408281248,780.5444482758621
616.506271537432,755.4603620689657
616.865088906752,778.7365862068966
617.223860389208,766.9854827586207
617.5825859848,753.4265172413793
617.941265693528,780.7704310344827
618.299899515392,774.8948793103448
618.658487450392,765.6295862068965
619.0170294985279,766.5335172413794
619.3755256597999,761.7878793103448
619.7339759342079,763.5957413793104
620.092380321752,783.7082068965517
620.450738822432,768.7933448275862
620.809051436248,757.7201896551724
621.1673181632,748.454896551724
621.525539003288,755.9123275862069
621.883713956512,765.8555689655171
622.241843022872,768.5673620689655
622.599926202368,766.5335172413794
622.957963495,763.5957413793103
623.315954900768,777.606672413793
623.6739004196719,781.9003448275863
624.0318000517119,781.9003448275862
624.389653796888,765.8555689655173
624.7474616551999,764.4996724137932
625.105223626648,771.5051379310344
625.462939711232,763.3697586206897
625.820609908952,764.9516379310346
626.178234219808,769.697275862069
626.5358126438,766.5335172413793
626.893345180928,781.4483793103449
