Lambda,Intensity
504.1799,0.0
504.552804636568,0.0
504.925663386272,0.0
505.29847624911196,0.0
505.67124322508795,0.0
506.04396431419997,0.0
506.41663951644796,0.0
506.789268831832,0.0
507.161852260352,0.0
507.5343898020079,0.0
507.90688145679997,0.0
508.279327224728,0.0
508.65172710579196,0.0
509.024081099992,0.0
509.396389207328,0.0
509.76865142779997,0.0
510.14086776140795,605.4078103448276
510.51303820815195,624.1643793103448
510.885162768032,639.5312068965518
511.257241441048,993.4202068965517
511.62927422719997,680.8860517241379
512.001261126488,662.1294827586207
512.373202138912,662.581448275862
512.745097264472,676.8183620689655
513.1169465031679,677.9482758620691
513.488749855,704.3882586206897
513.860507319968,705.9701379310346
514.232218898072,699.868603448276
514.603884589312,707.778
514.975504393688,705.5181724137931
515.3470783111999,713.653551724138
515.7186063418479,726.5345689655172
516.0900884856319,710.9417586206897
516.461524742552,720.207051724138
516.8329151126079,749.3588275862069
517.2042595958,752.0706206896551
517.575558192128,757.9461724137931
517.946810901592,744.839172413793
518.318017724192,751.6186551724138
518.689178659928,791.6176034482759
519.0602937088,744.6131896551724
519.431362870808,744.1612241379311
519.8023861459519,726.3085862068965
520.173363534232,739.4155862068965
520.5442950356479,751.8446379310344
520.9151806502,752.9745517241379
521.286020377888,731.2802068965518
521.6568142187119,753.4265172413793
522.027562172672,743.2572931034483
522.398264239768,743.7092586206896
522.76892042,744.6131896551724
523.139530713368,744.839172413793
523.5100951198721,739.1896034482759
523.880613639512,723.8227758620691
524.2510862722879,744.839172413793
524.6215130182,744.3872068965518
524.9918938772479,759.3020689655173
525.362228849432,762.2398448275862
525.732517934752,766.7595000000001
526.102761133208,728.116448275862
526.4729584447999,738.7376379310346
526.843109869528,727.2125172413794
527.213215407392,751.6186551724138
527.583275058392,743.9352413793104
527.9532888225281,755.0083965517241
528.3232566997999,744.3872068965518
528.6931786902079,736.0258448275862
529.0630547937519,737.3817413793105
529.432885010432,747.0989999999999
529.8026693402479,769.6972758620689
530.1724077832,768.5673620689655
530.542100339288,739.4155862068965
530.911747008512,715.2354310344828
531.281347790872,738.7376379310347
531.650902686368,827.5488620689655
532.020411695,739.8675517241379
532.389874816768,736.4778103448276
532.759292051672,743.2572931034482
533.128663399712,731.9581551724139
533.497988860888,727.8904655172414
533.8672684351999,723.5967931034481
534.236502122648,743.2572931034483
534.6056899232319,749.8107931034483
534.9748318369519,740.5455
535.343927863808,733.992
535.7129780038,739.4155862068966
536.081982256928,735.3478965517241
536.450940623192,721.1109827586208
536.819853102592,729.2463620689655
537.1887196951279,726.9865344827587
537.5575404007999,740.0935344827586
537.9263152196079,741.9013965517241
538.2950441515519,711.8456896551724
538.663727196632,728.3424310344827
539.0323643548479,740.3195172413792
539.4009556262,743.7092586206896
539.769501010688,735.1219137931034
540.138000508312,726.3085862068966
540.506454119072,759.3020689655173
540.874861842968,716.8173103448277
541.24322368,740.3195172413793
541.611539630168,713.8795344827586
541.9798096934719,797.267172413793
542.3480338699119,758.6241206896551
542.7162121594879,751.1666896551724
543.0843445621999,715.009448275862
543.452431078048,720.207051724138
543.820471707032,715.9133793103448
544.188466449152,757.7201896551724
544.556415304408,725.178672413793
544.9243182728,803.142724137931
545.292175354328,758.6241206896553
545.659986548992,736.9297758620689
546.027751856792,719.3031206896551
546.3954712777279,740.0935344827587
546.7631448118,738.2856724137931
547.130772459008,721.5629482758623
547.498354219352,744.3872068965518
547.8658900928319,743.0313103448276
548.233380079448,755.6863448275864
548.6008241792,742.8053275862069
548.968222392088,748.9068620689653
549.335574718112,753.8784827586207
549.702881157272,732.4101206896552
550.0701417095679,738.5116551724138
550.4373563749999,739.8675517241379
550.804525153568,729.4723448275862
551.1716480452719,718.8511551724138
551.5387250501119,731.732172413793
551.9057561680879,747.7769482758621
552.2727413992,741.4494310344828
552.639680743448,739.8675517241378
553.006574200832,733.3140517241379
553.373421771352,756.3642931034483
553.740223455008,1195.9007586206894
554.1069792518,772.8610344827586
554.473689161728,733.7660172413792
554.840353184792,724.5007241379311
555.2069713209919,712.2976551724138
555.573543570328,764.7256551724138
555.9400699327999,734.8959310344828
556.3065504084079,728.7943965517242
556.672984997152,723.5967931034484
557.039373699032,716.8173103448277
557.405716514048,727.8904655172413
557.7720134422,765.1776206896552
558.138264483488,735.7998620689656
558.504469637912,735.5738793103448
558.8706289054719,785.9680344827586
559.2367422861679,755.6863448275863
559.6028097799999,773.313
559.968831386968,741.223448275862
560.3348071070719,735.7998620689655
560.7007369403119,729.0203793103449
561.0666208866879,745.7431034482759
561.4324589462,733.0880689655173
561.798251118848,747.5509655172413
562.163997404632,746.6470344827586
562.529697803552,721.1109827586208
562.895352315608,741.2234482758622
563.2609609408,736.4778103448277
563.6265236791279,738.2856724137931
563.9920405305919,744.6131896551724
564.3575114951919,738.285672413793
564.722936572928,726.0826034482759
565.0883157638,726.3085862068967
565.453649067808,746.4210517241379
565.818936484952,756.8162586206896
566.184178015232,835.2322758620688
566.549373658648,771.053172413793
566.9145234152,755.0083965517241
567.2796272848881,724.0487586206897
567.6446852677119,730.1502931034482
568.0096973636719,743.2572931034481
568.374663572768,748.2289137931034
568.7395838949999,735.3478965517241
569.104458330368,743.483275862069
569.4692868788719,747.7769482758621
569.834069540512,731.5061896551724
570.198806315288,752.070620689655
570.5634972032,736.9297758620689
570.928142204248,775.7988103448275
571.292741318432,759.5280517241379
571.6572945457519,742.8053275862069
572.021801886208,746.6470344827587
572.3862633397999,749.8107931034483
572.7506789065279,747.7769482758621
573.1150485863919,762.0138620689655
573.479372379392,750.9407068965517
573.8436502855279,758.8501034482758
574.2078823048,748.6808793103448
574.572068437208,734.2179827586206
574.936208682752,738.0596896551724
575.300303041432,742.3533620689655
575.664351513248,763.5957413793105
576.0283540982,755.0083965517242
576.3923107962879,741.6754137931034
576.756221607512,756.5902758620689
577.120086531872,742.5793448275863
577.483905569368,728.5684137931034
577.84767872,758.8501034482761
578.2114059837679,736.9297758620689
578.575087360672,748.9068620689656
578.938722850712,728.3424310344828
579.302312453888,722.4668793103447
579.6658561702,724.2747413793102
580.029353999648,774.6688965517241
580.3928059422319,757.946172413793
580.7562119979519,790.9396551724138
581.119572166808,721.7889310344829
581.4828864488,743.4832758620689
581.8461548439279,748.454896551724
582.209377352192,736.9297758620689
582.572553973592,734.4439655172415
582.935684708128,726.5345689655171
583.2987695557999,753.8784827586207
583.661808516608,729.6983275862068
584.024801590552,741.9013965517241
584.387748777632,745.0651551724138
584.750650077848,750.4887413793103
585.1135054911999,765.6295862068966
585.476315017688,840.6558620689653
585.8390786573119,742.5793448275862
586.201796410072,731.2802068965518
586.564468275968,720.207051724138
586.9270942549999,752.7485689655172
587.289674347168,770.6012068965516
587.652208552472,735.3478965517241
588.014696870912,741.4494310344828
588.377139302488,744.8391724137932
588.7395358472,719.0771379310344
589.1018865050479,835.4582586206898
589.4641912760319,738.9636206896552
589.8264501601519,724.9526896551724
590.188663157408,762.2398448275862
590.5508302677999,740.7714827586208
590.9129514913279,738.7376379310346
591.275026827992,720.8850000000001
591.637056277792,742.579344827586
591.999039840728,742.3533620689655
592.3609775168,717.269275862069
592.722869306008,734.6699482758621
593.0847152083519,747.3249827586208
593.4465152238321,739.8675517241379
593.808269352448,745.9690862068967
594.1699775942,729.9243103448276
594.5316399490879,738.9636206896552
594.893256417112,737.607724137931
595.2548269982719,769.697275862069
595.616351692568,742.5793448275862
595.9778305,766.5335172413794
596.339263420568,783.2562413793104
596.700650454272,723.5967931034484
597.061991601112,752.7485689655173
597.4232868610881,729.4723448275861
597.7845362341999,805.1765689655174
598.145739720448,759.0760862068967
598.506897319832,745.9690862068966
598.8680090323519,756.3642931034482
599.229074858008,742.5793448275863
599.5900947967999,773.3130000000001
599.951068848728,753.6524999999999
600.3119970137919,728.116448275862
600.672879291992,746.6470344827587
601.033715683328,734.2179827586208
601.3945061878001,740.5455
601.7552508054079,732.1841379310345
602.115949536152,740.5455
602.476602380032,750.2627586206897
602.837209337048,731.2802068965517
603.1977704072,753.2005344827585
603.5582855904879,740.7714827586207
603.918754886912,730.376275862069
604.279178296472,735.1219137931033
604.639555819168,731.9581551724137
604.999887455,752.748568965517
605.360173203968,737.607724137931
605.7204130660721,726.3085862068966
606.0806070413121,734.2179827586208
606.4407551296879,732.8620862068965
606.8008573312,742.1273793103448
607.1609136458479,730.1502931034483
607.5209240736319,732.1841379310345
607.880888614552,741.223448275862
608.240807268608,729.0203793103449
608.6006800358,754.7824137931036
608.960506916128,733.0880689655172
609.320287909592,740.0935344827586
609.680023016192,736.4778103448276
610.039712235928,753.8784827586207
610.3993555687999,741.4494310344827
610.758953014808,725.8566206896553
611.1185045739519,739.1896034482759
611.478010246232,729.2463620689657
611.837470031648,727.6644827586207
612.1968839302,752.5225862068967
612.5562519418879,742.1273793103447
612.915574066712,732.8620862068965
613.274850304672,739.1896034482759
613.634080655768,754.5564310344828
613.99326512,745.9690862068965
614.352403697368,719.3031206896552
614.711496387872,731.054224137931
615.0705431915119,729.4723448275862
615.4295441082879,712.9756034482758
615.7884991382,734.8959310344828
616.147408281248,806.7584482758621
616.506271537432,751.8446379310344
616.865088906752,733.3140517241379
617.223860389208,723.822775862069
617.5825859848,746.4210517241379
617.941265693528,718.625172413793
618.299899515392,724.500724137931
618.658487450392,755.0083965517242
619.0170294985279,762.2398448275862
619.3755256597999,726.7605517241379
619.7339759342079,743.7092586206895
620.092380321752,747.0989999999999
620.450738822432,733.314051724138
620.809051436248,738.5116551724137
621.1673181632,746.4210517241379
621.525539003288,756.1383103448276
621.883713956512,724.500724137931
622.241843022872,762.9177931034483
622.599926202368,745.9690862068966
622.957963495,729.6983275862069
623.315954900768,748.9068620689656
623.6739004196719,738.963620689655
624.0318000517119,761.3359137931035
624.389653796888,741.4494310344829
624.7474616551999,757.7201896551725
625.105223626648,747.0989999999999
625.462939711232,727.2125172413791
625.820609908952,734.2179827586208
626.178234219808,764.7256551724138
626.5358126438,729.2463620689654
626.893345180928,733.5400344827585
